"Add Recipient","Προσθήκη Παραλήπτη"
"Allow for Guests","Επιτρέπεται για Επισκέπτες"
"An invalid email address for recipient was entered.","Καταχωρήθηκε μία άκυρη διεύθυνση ηλεκτρονικού ταχυδρομείου-email για παραλήπτη."
"At least one recipient must be specified.","Τουλάχιστον ένας παραλήπτης πρέπει να καθοριστεί."
"Back","Πίσω"
"Catalog Product Email to a Friend","Αποστολή με email  του Καταλόγου Προϊόντων σε ένα Φίλο"
"Email Address","Διεύθυνση Email"
"Email Address:","Διεύθυνση Email:"
"Email Templates","Πρότυπα Email"
"Email to a Friend","Email προς ένα Φίλο"
"Email:","Email:"
"Enabled","Ενεργοποιημένο"
"Invalid Sender Information","Άκυρες Πληροφορίες Αποστολέα"
"Invalid sender email.","Άκυρο email αποστολέα."
"Limit Sending By","Περιορισμός Αποοστολής Ανα"
"Max Products Sent in 1 Hour","Μέγ. Αριθμός Προϊόντων που Απεστάλησαν σε 1 Ώρα"
"Max Recipients","Μέγ. Αριθμός Παραληπτών"
"Maximum %d email addresses allowed.","Επιτρέπονται στο μέγιστο %d διευθύνσεις email."
"Message:","Μήνυμα:"
"Name","Όνομα"
"Name:","Όνομα:"
"No more than %d emails can be sent at a time.","Δεν μπορούν να σταλούν περισσότερα από %s email τη φορά."
"Please define a correct Cookie instance.","Παρακαλούμε καθορίστε ένα σωστό παράδειγμα Cookie."
"Please define a correct Product instance.","Παρακαλούμε καθορίστε ένα σωστό παράδειγμα Προϊόντος."
"Please define the correct Sender information.","Παρακαλούμε καθορίστε σωστές πληροφορίες Αποστολέα."
"Recipient:","Παραλήπτης:"
"Remove Email","Αφαίρεση Email"
"Select Email Template","Επιλέξτε Πρότυπο Email"
"Send Email","Αποστολή των Emails"
"Send product to a friend","Αποστολή προϊόντος σε ένα φίλο"
"Sender:","Αποστολέας:"
"Some emails were not sent.","Κάποια emails δεν στάλθηκαν."
"The link to a friend was sent.","Ο σύνδεσμος στάλθηκε σε ένα φίλο."
"The message cannot be empty.","Το μήνυμα δεν μπορεί να είναι κενό."
"The messages cannot be sent more than %d times in an hour","Δεν μπορούν να σταλούν περισσότερα από %s μηνύματα την ώρα."
"The sender name cannot be empty.","Το όνομα αποστολέα δεν μπορεί να είναι κενό."
"There were some problems with the data.","Υπήρχαν κάποια προβλήματα με τα δεδομένα."
"You have exceeded limit of %d sends in an hour","Έχετε εξαντλήσει το όριο των %s αποστολών την ώρα."
