"Actions","Ενέργειες"
"Add Answer","Προσθήκη Απάντησης"
"Add New Answer","Προσθήκη Νέας Απάντησης"
"Add New Poll","Προσθήκη Νέας Δημοσκόπησης"
"Answer Title","Τίτλος Απάντησης"
"Answer Title:","Τίτλος Απάντησης:"
"Answer with the same title in this poll","Απάντηση με τον ίδιο τίτλο σε αυτήν τη ψηφοφορία"
"Are you sure you want to delete it?","Είστε βέβαιοι ότι θέλετε να το διαγράψετε;"
"Assigned Answers","Εκχωρημένες Απαντήσεις"
"Closed","Κλειστή"
"Community Poll","Δημοσκοπηση Κοινοτητας"
"Date Closed","Ημ/μηνία Λήξης"
"Date Posted","Ημ/μηνία Ανάρτησης"
"Delete","Διαγραφή"
"Delete Answer","Διαγραφή Απάντησης"
"Delete Poll","Διαγραφή Δημοσκόπησης"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Απαγόρευση της ψηφοφορίας σε μια δημοσκόπηση πολλές φορές από την ίδια διεύθυνση IP"
"Edit Answer '%s'","Επεξεργασία Απάντησης '%s'"
"Edit Poll '%s'","Επεξεργασία Δημοσκόπησης '%s'"
"Edit Poll Answer","Επεξεργασία Απάντησης Δημοσκόπησης"
"ID","ID"
"Invalid Answer.","Μη έγκυρη απάντηση."
"New Poll","Νέα Δημοσκόπηση"
"Number of Responses","Αριθμός Απαντήσεων"
"Open","Ανοιχτή"
"Poll Answers","Απαντήσεις Δημοσκόπησης"
"Poll Information","Πληροφορίες Δημοσκόπησης"
"Poll Manager","Διαχειριστής Δημοσκοπήσεων"
"Poll Question","Ερώτηση Δημοσκόπησης"
"Poll information","Πληροφορίες δημοσκόπησης"
"Poll with the same question","Δημοσκόπηση με την ίδια ερώτηση"
"Polls","Polls"
"Save Answer","Αποθήκευση Απάντησης"
"Save Poll","Αποθήκευση Δημοσκόπησης"
"Status","Κατάσταση"
"The answer has been saved.","Η απάντηση έχει αποθηκευτεί."
"The poll does not exist.","Η δημοσκόπηση δεν υπάρχει."
"Unable to find an answer to delete.","Αδύνατον να βρεθεί κάποια απάντηση για διαγραφή."
"Visible In","Ορατή σε"
"Vote","Ψήφος"
"Votes Count","Αριθμός Ψήφων"
"Votes Count:","Αριθμός Ψήφων:"
