"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Προσοχή</strong>: στο Captcha υπάρχει διάκριση πεζών-κεφαλαίων."
"After number of attempts to login","Μετά από αριθμό των προσπαθειών για να συνδεθείτε"
"Always","Πάντα"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","Ισχύς CAPTCHA (σε λεπτά)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","Το CAPTCHA για τις φόρμες ""Δημιουργία Χρήστη"" και ""Ξεχασμένος κωδικός"" είναι πάντα ενεργοποιημένος αν επιλεγεί"
"Case Sensitive","Διάκριση Πεζών - Κεφαλαίων"
"Displaying Mode","Λειτουργία Εμφάνισης "
"Enable CAPTCHA in Admin","Ενεργοποίηση CAPTCHA στη Διαχείριση "
"Enable CAPTCHA on Frontend","Ενεργοποίηση CAPTCHA στο Κατάστημα"
"Font","Γραμματοσειρά"
"Forms","Φόρμες"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Αν οριστεί 0, το CAPTCHA στη φόρμα σύνδεσης θα είναι πάντα διαθέσιμο."
"Incorrect CAPTCHA.","Λάθος CAPTCHA."
"Number of Symbols","Αριθμός Συμβόλων"
"Number of Unsuccessful Attempts to Login","Αριθμός Αποτυχημένων Προσπαθειών Σύνδεσης"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Παρακαλούμε ορίστε 8 σύμβολα το πολύ. Επιτρέπεται και διάστημα (π.χ. 3-5)"
"Please type the letters below","Παρακαλούμε πληκτρολογήστε τα παρακάτω γράμματα"
"Please type the letters from the image:","Παρακαλούμε πληκτρολογήστε τα γράμματα της εικόνας:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Παρακαλούμε χρησιμοποιείστε μόνο λατινικα γράμματα (aA-zZ) ή αριθμούς (0-9) σε αυτό το πεδίο. Δεν επιτρέπονται κενά ή άλλοι χαρακτήρες.<br />Παρόμοιοι στην εμφάνιση χαρακτήρες (π.χ. ""i"", ""l"", ""1"") μειώνουν τη δυνατότητα της σωστής αναγνώρισης από τον πελάτη."
"Reload captcha","Επαναφόρτωση captcha"
"Symbols Used in CAPTCHA","Σύμβολα που χρησιμοποιούνται στο CAPTCHA"
