"Add","Προσθήκη"
"Add gift message for shopping cart","Προσθήκη μηνύματος δώρου στο καλάθι αγορών"
"Add gift messages for quote item of shopping cart","Προσθήκη μηνυμάτων δώρου για είδος προσφοράς στο καλάθι αγορών"
"Add gift messages to products of shopping cart","Προσθήκη μηνυμάτων δώρου σε προϊόντα του καλαθιού αγορών"
"Add gift options","Προσθήκη επιλογών δώρου"
"Add gift options for Individual Items","Προσθήκη μηνύματος δώρου για μεμονωμένα Είδη"
"Add gift options for the Entire Order","Προσθήκη επιλογών δώρου για Ολόκληρη τη Παραγγελία"
"Add gift options.","Προσθήκη επιλογών δώρου."
"Allow Gift Messages for Order Items","Επιτρέψτε Μηνύματα Δώρων για Είδη της Παραγγελίας"
"Allow Gift Messages on Order Level","Επιτρέψτε Μηνύματα Δώρων σε Επίπεδο Παραγγελίας"
"An error occurred while saving the gift message.","Ένα σφάλμα προέκυψε ενώ αποθηκεύατε το μήνυμα δώρου."
"Are you sure?","Είστε σίγουροι;"
"Cancel","Ακύρωση"
"Do you have any gift items in your order?","Έχετε κανένα δώρο στην παραγγελία σας;"
"Edit","Επεξεργασία"
"From","Από"
"Gift Message","Μήνυμα Δώρου"
"Gift Message API","Μήνυμα Δώρου API"
"Gift Options","Επιλογές Δώρου"
"Gift Options for","Επιλογές Δώρου για"
"Gift Options for Individual Items","Επιλογές Δώρου για Μεμονωμένα Είδη"
"Gift Options for the Entire Order.","Επιλογές Δώρου για Ολόκληρη τη Παραγγελία."
"Gift Options for this address.","Επιλογές Δώρου γι'αυτή τη διεύθυνση."
"Item %d of %d","Είδος %d από %d"
"Message","Μήνυμα"
"No","Όχι"
"OK","Εντάξει"
"Save Gift Message","Αποθήκευση Μηνύματος Δώρου"
"The gift message has been removed","Το μήνυμα δώρου έχει αφαιρεθεί"
"The gift message has been saved","Το μήνυμα δώρου έχει αποθηκευτεί"
"The gift message has been saved.","Το μήνυμα δώρου έχει αποθηκευτεί."
"To","Προς"
"Unknown entity type","Άγνωστος τύπος οντότητας"
"Use config","Χρήση ρυθμίσεων"
"Yes","Ναι"
"You can leave this box blank if you do not wish to add a gift message for the item.","Μπορείτε να αφήσετε αυτό το πλαίσιο κενό αν δεν επιθυμείτε να προσθέσετε ένα μήνυμα δώρου για το είδος."
"You can leave this box blank if you do not wish to add a gift message for this address.","Μπορείτε να αφήσετε αυτό το πλαίσιο κενό αν δεν επιθυμείτε να προσθέσετε ένα μήνυμα δώρου γι'αυτή τη διεύθυνση."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Μπορείτε να αφήσετε αυτό το πλαίσιο κενό αν δεν επιθυμείτε να προσθέσετε ένα μήνυμα δώρου για όλη τη παραγγελία."
