"%d Review(s)","%d Αξιολόγηση(εις)"
"%s Review(s)","%s Αξιολόγηση(εις)"
"(Posted on %s)","(Αναρτήθηκε στις %s)"
"1 star","1 αστέρι"
"2 star","2στερο "
"2 stars","2 αστέρια"
"3 star","3στερο"
"3 stars","3 αστέρια"
"4 star","4στερο"
"4 stars","4 αστέρια"
"5 star","5στερο"
"5 stars","5 αστέρια"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Προσθήκη Νέας Αξιολόγησης"
"Add Your Review","Προσθήκη της Αξιολόγησης σας"
"Administrator","Διαχειριστής"
"All Reviews","Όλες οι Αξιολογήσεις"
"All Reviews of Customer `%s`","Όλες οι Αξιολογήσεις του Πελάτη `%s`"
"All Reviews of Product `%s`","Όλες οι Αξιολογήσεις του Προϊόντος `%s`"
"Allow Guests to Write Reviews","Επιτρέψτε στους Επισκέπτες να Γράφουν Αξιολογήσεις"
"Approved","Έχει Εγκριθεί"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"Are you sure?","Είστε σίγουροι;"
"Average Customer Rating","Μέση Βαθμολογία Πελατών"
"Average Customer Rating:","Μέση Βαθμολογία Πελατών:"
"Back","Πίσω"
"Back to Main Product Info","Επιστροφή στη βασική σελίδα στοιχείων προϊόντος"
"Back to My Reviews","Επιστροφή στις Αξιολογήσεις μου"
"Back to Product Reviews","Επιστροφή στις Αξιολογήσεις Προϊόντων"
"Be the first to review this product","Αξιολογήστε πρώτος αυτό το προϊόν "
"Catalog Product Review View","Προβολή Καταλόγου Αξιολόγησης Προϊόντος"
"Catalog Product Reviews List","Λίστα Καταλόγων Αξιολογήσεων Ποϊόντων"
"Created On","Δημιουργήθηκε στις"
"Customer","Πελάτης"
"Customer My Account Product Reviews","Αξιολογήσεις Προϊόντων στον Λογαριασμό του Πελάτη"
"Customer My Account Review Details","Λεπτομέρειες Αξιολογήσεων στον Λογαριασμό του Πελάτη"
"Customer Reviews","Αξιολογήσεις Πελατών"
"Customers Reviews","Αξιολογήσεις Πελατών"
"Delete","Διαγραφή"
"Delete Review","Διαγραφή Αξιολόγησης"
"Detailed Rating","Λεπτομερής Βαθμολογία"
"Edit Review '%s'","Επεξεργασία Αξιολόγησης '%s'"
"Guest","Επισκέπτης"
"How do you rate this product?","Πως βαθμολογείτε αυτό το προϊόν;"
"ID","ID"
"Let us know your thoughts","Αφήστε μας να γνωρίζουμε τις σκέψεις σας"
"Manage Ratings","Διαχείριση Βαθμολογήσεων"
"My Product Reviews","Οι Αξιολογήσεις Προϊόντων μου"
