"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" δεν είναι διαθέσιμο στη ζητούμενη ποσότητα. %s από τα είδη θα κρατηθούν σε εκκρεμότητα."
"%s is available for purchase in increments of %s only.","%s είναι διαθέσιμο για αγορά με προσαύξηση των %s μόνο."
"%s is not a correct comparsion method.","%s δεν είναι η σωστή μέθοδος σύγκρισης."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Σημείωση</strong> ότι αυτές οι ρυθμίσεις είναι εφαρμόσιμες στα είδη της κάθε γραμμής του καλαθιού, όχι σε ολόκληρο το καλάθι."
"Add Minimum Qty","Πρόσθεση Ελάχιστης Ποσ."
"Allow Qty Below 0","Να Επιτρέπεται Ποσ. Κάτω Από 0"
"Allow Qty Below 0 and Notify Customer","Να Επιτρέπεται Ποσ. Κάτω Από 0 και Να Ειδοποιείται ο Πελάτης"
"Automatically Return Credit Memo Item to Stock","Αυτόματη Επιστροφή Είδους του Πιστωτικού Υπομνήματος στο Απόθεμα"
"Backorders","Καθυστερημένες Παραγγελίες"
"By Fixed value","Ανα Σταθερή τιμή"
"By Percentage","Ανα Ποσοστό"
"Cannot specify product identifier for the order item.","Είναι αδύνατος ο καθορισμός αναγνωριστικού προϊόντος για το είδος παραγγελίας"
"Catalog Inventory","Κατάλογος Αποθήκης"
"Decrease Stock When Order is Placed","Μείωση Αποθέματος Όταν Τοποθετείται Παραγγελία"
"Display Out of Stock Products","Εμφάνιση Εκτός Αποθέματος Προϊόντων"
"Display products availability in stock in the frontend","Εμφάνιση διαθεσιμότητας προϊόντων στο προσκήνιο - frontend"
"Enable Qty Increments","Ενεργοποίηση Προσαύξηση Ποσ."
"In Stock","Αμεσα Διαθέσιμο"
"Index Product Stock Status","Ευρετήριο Κατάστασης Αποθέματος Προϊόντων"
"Inventory","Αποθήκη"
"Inventory API","Αποθήκη API"
"Inventory Section","Τμήμα Αποθήκης"
"Manage Stock","Διαχείριση Αποθέματος"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη Επιτρεπόμενη Ποσ. στο Καλάθι Αγοράς"
"Minimum Qty","Ελάχιστη Ποσ. "
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη Επιτρεπόμενη Ποσ. στο Καλάθι αγοράς"
"Multi update product stock data","Πολλαπλή ενημέρωση δεδομένων αποθέματος προϊόντος"
"No Backorders","Χωρίς Καθυστέρηση Παραγγελίας"
"Not all products are available in the requested quantity","Δεν είναι διαθέσιμα όλα τα προϊόντα στη ζητούμενη ποσότητα"
"Notify for Quantity Below","Ειδοποίηση για Ποσότητα Κάτω Από"
"Only %s left","Μόνο %s αριστερά"
"Only X left Threshold","Μόνο X αριστερό Όριο"
"Out of Stock","Εκτός Αποθέματος"
"Product Name","Όνομα Προϊόντος"
"Product Stock Options","Επιλογές Αποθέματος Προϊόντος"
"Products will still be shown by direct product URLs.","Τα προϊόντα θα εξακολουθούν να εμφανίζονται από τις άμεσες διευθύνσεις URL του κάθε προϊόντος."
"Qty","Ποσ."
"Qty Increments","Προσαύξηση Ποσ."
"Qty for Item's Status to Become Out of Stock","Κατάσταση Ποσ. Ειδών για να γίνουν Μη Διαθέσιμα"
"Retrieve stock data","Ανάκτηση δεδομένων αποθέματος"
"Retrieve stock data by product ids","Ανάκτηση δεδομένων αποθέματος κατά ID προϊόντος"
"Rule price","Αξία κανόνα"
"Set Items' Status to be In Stock When Order is Cancelled","Ρύθμιση Κατάστασης Ειδών να είναι Διαθέσιμα, όταν η Παραγγελία Ακυρωθεί"
"Some of the products are currently out of stock.","Κάποια από τα προϊόντα είναι προσωρινά εκτός αποθέματος."
"Some of the products cannot be ordered in requested quantity.","Κάποια από τα προϊόντα που δεν μπορούν να παραγγελθούν στη ζητούμενη ποσότητα."
"Some of the products cannot be ordered in the requested quantity.","Κάποια από τα προϊόντα δεν μπορούν να παραγγελθούν στη ζητούμενη ποσότητα."
"Stock Options","Επιλογές Αποθέματος"
"Stock Status","Κατάσταση Αποθέματος"
"The maximum quantity allowed for purchase is %s.","Η μέγιστη ποσότητα που επιτρέπετε για αγορά είναι %s."
"The minimum quantity allowed for purchase is %s.","Η ελάχιστη ποσότητα που επιτρέπετε για αγορά είναι %s."
"The requested quantity for ""%s"" is not available.","Η ζητούμενη ποσότητα για ""%s"" δεν είναι διαθέσιμη."
"The stock item for Product in option is not valid.","Το είδος αποθέματος για Προϊόν σε επιλογή, δεν είναι έγκυρο. ( Το στοιχείο απόθεμα για Προϊόν σε επιλογή, δεν είναι έγκυρο. )"
"The stock item for Product is not valid.","Το είδος αποθέματος για Προϊόν δεν είναι έγκυρο.  ( Το στοιχείο απόθεμα για Προϊόν δεν είναι έγκυρο. )"
"This product is available for purchase in increments of %s only.","Αυτό το προϊόν είναι διαθέσιμο για αγορά με προσαύξηση των %s μόνο."
"This product is currently out of stock.","Αυτό το προϊόν είναι προσωρινά εκτός αποθέματος."
"This product is not available in the requested quantity. %s of the items will be backordered.","Αυτό το προϊόν δεν είναι διαθέσιμο στη ζητούμενη ποσότητα. %s από τα είδη θα κρατηθούν σε εκκρεμότητα."
"To Fixed Value","Σε Σταθερή Τιμή"
"To Percentage","Σε Ποσοστό"
"Undefined product type.","Ακαθόριστος τύπος προϊόντος."
"Update","Ενημέρωση"
"Update product stock data","Ενημέρωση δεδομένων αποθέματος προϊόντος"
"Update the Product","Ενημέρωση του προϊόντος"
