"3D Secure","3D Ασφαλής "
"3D Secure Card Validation","3D Ασφαλής Έλεγχος Κάρτας"
"API Login ID","API Login ID"
"Accepted Currency","Αποδεκτό Νόμισμα"
"Allow Partial Authorization","Επιτρεπτή η Τμηματική Έγκριση"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Είστε σίγουροι ότι θέλετε να ακυρώσετε την πληρωμή σας; Πατήστε ΟΚ να ακυρώσετε την πληρωμή σας και αφήστε το ποσό σε αναμονή. Πατήστε Ακύρωση για να εισάγετε άλλη πιστωτική κάρτα και συνεχίστε με τη πληρωμή σας."
"Authorize Only","Έγκριση Μόνο"
"Authorize and Capture","Έγκριση και Σύλληψη"
"Authorize.Net Transaction ID %s","Authorize.Net ID Συναλλαγής %s"
"Authorize.net","Authorize.net"
"Cancel","Ακύρωση"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Credit Card Verification","Επαλήθευση Πιστωτικής Κάρτας"
"Credit Card: xxxx-%s","Πιστωτική Κάρτα: xxxx-%s"
"Debug","Αποσφαλμάτωση"
"Email Customer","Email Πελάτη"
"Enabled","Ενεργοποιημένο"
"Error in payment gateway.","Σφάλμα στη πύλη πληρωμής."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Οι ενέργειες της πύλης κλειδώθηκαν επειδή η πύλη δεν μπορεί να ολοκληρώσει μία ή περισσότερες συναλλαγές. Παρακαλούμε συνδεθείτε στο λογαριασμό σας στο Authorize.Net για να λύσετε το ζήτημα (τα ζητήματα) χειροκίνητα."
"Gateway error: %s","Σφάλμα Πύλης: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Αν κενό, η προκαθορισμένη τιμή θα χρησιμοποιηθεί. Το προκαθορισμένο URL μπορεί να παρέχεται από συμφωνία με τη CardinalCommerce."
"Invalid amount for authorization.","Μη έγκυρο ποσό για έγκριση."
"Invalid amount for capture.","Μη έγκυρο ποσό για σύλληψη."
"Invalid amount for partial authorization.","Μη έγκυρο ποσό για τμηματική έγκριση."
"Invalid amount for refund.","Μη έγκυρο ποσό για επιστροφή."
"Invalid split tenderId ID.","Μη έγκυρος διαχωρισμός ID προσφοράς."
"Invalid transaction ID.","Μη έγκυρος κωδικός ID Συναλλαγής."
"Maximum Order Total","Μέγιστο Γενικό Σύνολο Παραγγελίας"
"Merchant's Email","Email Εμπόρου"
"Minimum Order Total","Ελάχιστο Γενικό Σύνολο Παραγγελίας"
"New Order Status","Κατάσταση Νέας Παραγγελίας"
