"-- Please select --","-- Παρακαλούμε επιλέξτε --"
"Allowed Currencies","Επιτρεπόμενα Νομίσματα"
"Base Currency","Βασικό Νόμισμα"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Το βασικό νόμισμα χρησιμοποιείται για όλες τις συναλλαγές πληρωμής που πραγματοποιούνται με σύνδεση. Η εμβέλεια καθορίζεται από την εμβέλεια τιμών καταλόγου (""Κατάλογος"" > ""Τιμές"" > ""Εμβέλεια Τιμών Καταλόγων"")"
"Can\'t convert rate from ""%s-%s"".","Αδύνατη η μετατροπή του συντελεστή από ""%s-%s""."
"Cannot retrieve rate from %s.","Αδύνατη η ανάκτηση του συντελεστή από %s."
"Connection Timeout in Seconds","Χρονικό όριο σύνδεσης σε δευτερόλεπτα"
"Continue &raquo;","Συνέχεια &raquo;"
"Country","Χώρα"
"Country API","Χώρας API"
"Country and Format Type combination should be unique","Ο συνδυασμός Χώρας και Τύπου Μορφοποίησης πρέπει να είναι μοναδικός"
"Currency","Νόμισμα"
"Currency Options","Επιλογές Νομίσματος"
"Currency Setup","Διαμόρφωση Νομισμάτων"
"Currency Update Warnings","Προειδοποιήσεις Ανανεώσεων Νομίσματος"
"Default Display Currency","Εμφάνιση Προκαθορισμένου Νομίσματος"
"Directory","Φάκελος"
"Display not required State","Εμφάνιση μη υποχρεωτικός Νομός"
"Enabled","Ενεργοποιημένο"
"Error Email Recipient","Παραλήπτης Email Σφάλματος"
"Error Email Sender","Αποστολέας Email Σφάλματος"
"Error Email Template","Πρότυπο(Τempalte) Email Σφάλματος"
"FATAL ERROR:","ΑΝΕΠΑΝΟΡΘΩΤΟ ΣΦΑΛΜΑ:"
"Frequency","Συχνότητα"
"Installed Currencies","Εγκατεστημένα Νομίσματα"
"Invalid Import Service specified.","Καθορίστηκε Άκυρη Υπηρεσία Εισαγωγής."
"Invalid country code: %s","Άκυρος κωδικός χώρας: %s"
"Invalid rates received","Παρελήφθησαν άκυροι συντελεστές"
"Invalid target currency.","Άκυρο τοπικό νόμισμα."
"List of countries","Λίστα χωρών"
"List of regions in specified country","Λίστα δήμων σε συγκεκριμένη χώρα"
"Postal Code is Optional for the following countries","Ο Ταχ. Κωδ. είναι Προαιρετικός για τις παρακάτω χώρες"
"Region","Δήμος"
"Region API","Δήμος API"
"Scheduled Import Settings","Ρυθμίσεις Προγραμματισμένων Εισαγωγών"
"Select Your Currency","Επιλέξτε Το Νόμισμά Σας"
"Service","Υπηρεσία"
"Start Time","Ώρα Έναρξης"
"State is required for","Ο Νομός είναι υποχρεωτικός για"
"State/Province","Νόμός/Δήμος"
"States Options","Επιλογές Νομών"
"Strikeiron Email Update Warnings","Ειδοποιήσεις Email ενημέρωσης από Strikeiron"
"Unable to initialize the import model.","Αδυναμία αρχικοποίησης του μοντέλου εισαγωγής."
"Undefined rate from ""%s-%s"".","Απροσδιόριστος συντελεστής από ""%s-%s""."
"WARNING:","ΠΡΟΣΟΧΗ:"
"Webservicex","Webservicex"
"Your Currency","Το Νόμισμά Σας"
"Your Currency:","Το Νόμισμά Σας:"
"Your current currency is: %s","Το τρέχον νομισμά σας είναι: %s"
