"""Remember Me"" Default Value","Προεπιλεγμένη Τιμή για ""Να με θυμάσαι"""
"(Not %s?)","(Όχι %s?)"
"* Required Fields","* Υποχρεωτικά Πεδία"
"Address","Διεύθυνση"
"Address Information","Πληροφορίες Διεύθυνσης"
"Already registered?","Είστε ήδη εγγεγραμμένος;"
"Back","Πίσω"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Δημιουργώντας ένα λογαριασμό στο κατάστημά μας, θα έχετε τη δυνατότητα να κινηθείτε γρηγορότερα κατά τη διαδικασία πληρωμής, να εισάγετε πολλαπλές διευθύνσεις αποστολής, να βλέπετε και να παρακολουθείτε τις παραγγελίες σας και πολλά άλλα."
"Cannot load configuration from file %s.","Δεν είναι δυνατή η φόρτωση ρυθμίσεων από το αρχείο %s."
"Checkout as a Guest","Ολοκλήρωση Αγορών ως ένας Επισκέπτης"
"Checkout as Guest","Ολοκλήρωση Αγορών ως Επισκέπτης"
"Checkout as a Guest or Register","Ολοκληρωστε τις Αγορες σας ως Επισκεπτης ή Εγγραφειτε"
"City","Πόλη"
"Clear Persistence on Log Out","Καθαρισμός αποθηκευμένου Καλαθιού Αγορών κατά την αποσύνδεση"
"Close","Κλείσιμο"
"Company","Εταιρεία"
"Confirm Password","Επαλήθευση Κωδικού"
"Continue","Συνέχεια"
"Country","Χώρα"
"Create an Account","Δημιουργία ενός Λογαριασμού"
"Easy access to your order history and status","Εύκολη πρόσβαση στη κατάσταση και στο ιστορικό των παραγγελιών σας"
"Email Address","Διεύθυνση Email"
"Enable ""Remember Me""","Ενεργοποίηση επιλογής ""Να με θυμάσαι"""
"Enable Persistence","Ενεργοποίηση Διατήρησης Καλαθιού Αγορών"
"Fast and easy check out","Γρήγορη και εύκολη ολοκλήρωση αγορών"
"Faster checkout","Γρηγορότερη ολοκλήρωση αγορών"
"Fax","Φαξ"
"Forgot Your Password?","Ξεχάσατε Τον Κωδικό Σας;"
"Forgot your password?","Ξεχάσατε τον κωδικό σας;"
"General Options","Γενικές Επιλογές"
"If you have an account with us, please log in.","Αν έχετε ανοίξει λογαριασμό μαζί μας, παρακαλούμε συνδεθείτε."
"Loading next step...","Αναμονή για το επόμενο βήμα..."
"Login","Σύνδεση"
"Login Information","Στοιχεία Σύνδεσης"
"Login or Create an Account","Συνδεθείτε ή Δημιουργείστε ένα Λογαριασμό"
"New Customers","Νέοι Πελάτες"
"New Here?","Είστε Νέος Εδώ;"
"Password","Κωδικός"
"Persist Shopping Cart","Διατήρηση Καλαθιού Αγορών"
"Persistence Lifetime (seconds)","Διάρκεια Ζωής αποθηκευμένου Καλαθιού Αγορών (δευτερόλεπτα)"
"Persistent Shopping Cart","Αποθηκευμένο Καλάθι Αγορών"
"Personal Information","Προσωπικές Πληροφορίες"
"Please enter the following information to create your account.","Παρακαλούμε εισάγετε τις παρακάτω πληροφορίες, για να δημιουργήσετε το λογαριασμό σας."
"Please log in below:","Παρακαλούμε συνδεθείτε παρακάτω:"
"Please select region, state or province","Παρακαλούμε επιλέξτε νομό ή επαρχία"
"Register","Εγγραφή"
"Register and Checkout","Εγγραφείτε και Ολοκληρώστε τις Αγορές"
"Register and save time!","Εγγραφείτε και γλιτώστε χρόνο!"
"Register to Create an Account","Εγγραφείτε για να Δημιουργήσετε έναν Λογαριασμό"
"Register with us for future convenience:","Εγγραφείτε για μελλοντική ευκολία:"
"Registration is free and easy!","Η Εγγραφή είναι ελεύθερη και εύκολη!"
"Registered Customers","Εγγεγραμμενοι Πελατες"
"Remember Me","Να με θυμάσαι"
"Returning Customers","Επανερχόμενοι Πελάτες"
"Save in address book","Αποθήκευση στο βιβλίο διευθύνσεων"
"Save multiple shipping addresses","Αποθήκευση πολλαπλών διευθύνσεων αποστολής"
"Select State/Province...","Επιλογή Νομού/Δήμου..."
"Select a billing address from your address book or enter a new address.","Επιλέξτε μία διεύθυνση χρέωσης από το βιβλίο διευθύνσεων σας ή εισάγετε μία νέα διεύθυνση."
"Ship to different address","Αποστολή σε διαφορετική διεύθυνση"
"Ship to this address","Αποστολή σε αυτήν τη διεύθυνση"
"Shopping cart has been updated with appropriate prices","Το Καλάθι Αγορών έχει ενημερωθεί με τις τρέχουσες τιμές "
"Sign in to speed up your checkout process","Εγγραφείτε, για να επιταχύνετε την διαδικασία ολοκλήρωσης των αγορών σας"
"Sign Up for Newsletter","Εγγραφτείτε στο Δελτίο Νέων"
"State/Province","Νομός/Δήμος"
"Street Address","Διεύθυνση"
"Street Address %s","Διεύθυνση %s"
"Submit","Υποβολή"
"Telephone","Τηλέφωνο"
"To proceed to Checkout, please log in using your email address.","Για να προχωρήσετε στο Ταμείο, παρακαλώ συνδεθείτε χρησιμοποιώντας τη διεύθυνση ηλεκτρονικού ταχυδρομείου σας."
"VAT Number","Α.Φ.Μ."
"View and track orders and more","Εμφάνιση και παρακολούθηση αγορών και περισσότερα"
"Welcome, %s!","Καλως Ήρθατε, %s!"
"What\'s this?","Τι είναι αυτό?"
"Zip/Postal Code","Τ. Κ."
