"%s - Discounts and Coupons","%s - Εκπτώσεις Και Κουπόνια"
"%s - Special Products","%s - Ειδικά Προϊόντα"
"%s RSS Feed","%s Εγγραφή στη ροή RSS "
"%s has reached a quantity of %s.","%s έχει φτάσει τη ποσότητα των %s."
"%s\'s Wishlist","Λίστα Επιθυμητών του %s"
"Cannot retrieve the wishlist","Δεν είναι δυνατή η ανάκτηση της λίστας επιθυμητών"
"Catalog","Κατάλογος"
"Category Feeds","Τροφοδοσίες Κατηγοριών"
"Click for price","Πατήστε για τιμή"
"Comment: %s<br/>","Σχόλιο: %s<br/>"
"Coupons/Discounts","Κουπόνια/Εκπτώσεις"
"Current Status: %s<br/>","Τωρινή Κατάσταση: %s<br/>"
"Customer Name: %s","Όνομα Πελάτη: %s"
"Customer Order Status Notification","Ειδοποιήση Κατάστασης Παραγγελίας Πελάτη"
"Details for %s #%s","Λεπτομέρειες για %s #%s"
"Discount","Έκπτωση"
"Discount (%s)","Έκπτωση (%s)"
"Enable RSS","Ενεργοποιήση RSS"
"Error in processing xml. %s","Πρόβλημα στην επεξεργασια της xml. %s"
"From:","Από:"
"Get Feed","Λήψη RSS"
"Gift Message","Μήνυμα Δώρου"
"Grand Total","Τελικό Σύνολο"
"Low Stock Products","Προϊόντα με Χαμηλή Διαθεσιμότητα"
"Message:","Μήνυμα:"
"Miscellaneous Feeds","Ποικίλες Τροφοδοσίες"
"New Orders","Νέες Παραγγελίες"
"New Products","Νέα Προϊόντα"
"New Products from %s","Νέα Προϊόντα Από %s"
"Notified Date: %s<br/>","Ημερομηνία Ειδοποιήσης: %s<br/>"
"Order # %s Notification(s)","Ειδοποιήση(εις) Παραγελλίας # %s"
"Order #%s created at %s","Παραγγελία #%s δημιουργήθηκε στο %s"
"Pending product review(s)","Αξιολόγηση(εις) προϊόντων σε αναμονή"
"Product: ""%s"" review By: %s","Προϊόν: ""%s"" αξιολόγηση από :%s"
"Product: <a href=""%s"">%s</a> <br/>","Προϊόν: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Προϊόντα που έχουν ετικέτες %s"
"Purchased From: %s","Αγοράστηκε Από: %s"
"RSS","RSS"
"RSS Feeds","RSS Feeds"
"RSS Feeds List","Λίστα ροής πληροφοριών RSS"
"RSS Feeds Section","Τμήμα ροής πληροφοριών RSS"
"Review: %s <br/>","Αξιολόγηση: %s <br/>"
"Rss Config","Ρύθμιση Rss"
"Shipping &amp; Handling","Μεταφορικά &amp; Φορτοεκφόρτωση"
"Special Products","Ειδικά Προϊόντα"
"Store: %s <br/>","Κατάστημα: %s <br/>"
"Subtotal","Μερικό Σύνολο"
"Summary of review: %s <br/>","Περίληψη αξιολόγησης: %s <br/>"
"Tags Products","Ετικέτες Προϊόντα"
"Tax","Φόρος"
"There are no Rss Feeds","Δεν υπάρχουν νέες τροφοδοσίες RSS"
"To:","Πρός:"
"Top Level Category","Κατηγορία Ανώτερου Επιπέδου"
"Total: %s<br/>","Σύνολο: %s<br/>"
"Wishlist","Λίστα Επιθυμητών"
"click <a href=""%s"">here</a> to view the review","Κάντε κλικ <a href=""%s"">εδώ</a> για να δείτε την αξιολόγηση"
