"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Οι Κανόνες Τιμών του Καλαθιού βασίζονται στο ""%s"" χαρακτηριστικό που έχει απενεργοποιηθεί."
"%s Coupon(s) have been generated","%s Κουπόνι (-α) έχει δημιουργηθεί"
"Actions","Ενέργειες"
"Active","Ενεργοποιημένο"
"Add New Rule","Προσθήκη Νέου Κανόνα"
"Alphabetical","Αλφαβητικό"
"Alphanumeric","Αλφαριθμητικό "
"An error occurred while generating coupons. Please review the log and try again.","Ένα σφάλμα προέκυψε δημιουργώντας κουπόνια. Εξετάστε το αρχείο καταγραφής και προσπαθήστε πάλι."
"Apply","Εφαρμογή"
"Apply To","Εφαρμογή Στο(α)"
"Apply the rule only if the following conditions are met (leave blank for all products)","Εφαρμογή κανόνα μόνο εάν ισχύουν οι ακόλουθες συνθήκες (αφήστε κενό για όλα τα προϊόντα)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Εφαρμογή κανόνα μόνο στα προϊόντα στο Καλάθι που ταιριάζουν στις ακόλουθες συνθήκες (αφήστε κενό για όλα τα προϊόντα)"
"Apply the rule to cart items matching the following conditions","Εφαρμογή κανόνα στα προϊόντα στο Καλάθι που ταιριάζουν στις ακόλουθες συνθήκες"
"Apply to Shipping Amount","Εφαρμογή στα έξοδα Αποστολής"
"Are you sure you want to delete the selected coupon(s)?","Είστε σίγουροι ότι θέλετε να διαγράψετε το επιλεγμένο κουπόνι (-α) ;"
"Auto","Αυτόματο -η"
"Auto Generated Specific Coupon Codes","Αυτόματη δημιουργία κωδικών Ειδικών Κουπονιών"
"Buy X get Y free (discount amount is Y)","Αγοράστε το X αποκτήστε το Y δωρεάν (Το ποσό έκπτωσης είναι το  Y)"
"By Fixed value","Κατά Σταθερή τιμή"
"By Percentage","Κατά Ποσοστό"
"Can\'t acquire coupon.","Δεν μπορείτε να αποκτήσετε κουπόνι."
"Cart Attribute","Χαρακτηριστικό Καλαθιού"
"Catalog","Κατάλογος"
"Code Format","Μορφοποίηση Κωδικών"
"Code Length","Μήκος Κωδικού"
"Code Prefix","Πρόθεμα Κωδικού"
"Code Suffix","Επίθεμα Κωδικού"
"Conditions","Συνθήκες"
"Conditions combination","Συνδυασμός συνθηκών"
"Coupon","Κουπόνι"
"Coupon Code","Κωδικός Κουπονιού"
"Coupon Qty","Ποσότητα Κουπονιών"
"Coupon with the same code","Κουπόνια με τον ίδιο Κωδικό"
"Coupons Information","Πληροφορίες Κουπονιών"
"Created On","Δημιουργήθηκε στις"
"Customer Groups","Ομάδες Πελατών"
"Dash Every X Characters","Βάλτε παύλα κάθε Χ χαρακτήρες"
"Date Expire","Ημ/νία Λήξης"
"Date Start","Ημ/νία Έναρξης"
"Default Label","Προκαθορισμένη Επιγραφή"
"Default Rule Label for All Store Views","Προκαθορισμένος Κανόνας Επιγραφών για όλες τις Όψεις του Καταστήματος"
"Description","Περιγραφή"
"Discount Amount","Ποσό Έκπτωσης"
"Discount Qty Step (Buy X)","Βήμα Έκπτωσης Ποσ. (Αγορά X)"
"Edit Rule","Επεξεργασία Κανόνα"
"Edit Rule '%s'","Επεξεργασία Κανόνα '%s'"
"Excluding prefix, suffix and separators.","Εξαιρούνται πρόθεμα, επίθεμα και διαχωριστικά."
"FOUND","ΒΡΕΘΗΚΕ"
"Fixed amount discount","Σταθερό ποσό έκπτωσης"
"Fixed amount discount for whole cart","Σταθερό ποσό έκπτωσης για όλο το καλάθι"
"For matching items only","Για προϊόντα που ταιριάζουν μόνο"
"For shipment with matching items","Για αποστολή με προϊόντα που ταιριάζουν"
"Free Shipping","Δωρεάν Μεταφορικά"
"From Date","Από Ημ/νία"
"General Information","Γενικές Πληροφορίες"
"Generate","Δημιουργήστε"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Εάν %s %s %s για μία υποεπιλογή τεμαχίων στο καλάθι ταιριάζει %s από αυτές τις συνθήκες:"
"If an item is %s in the cart with %s of these conditions true:","Εάν ένα τεμάχιο %s στο καλάθι μαζί με %s από αυτές τις συνθήκες είναι αληθής:"
"If empty no separation.","Εάν είναι άδειο δεν υπάρχει διαχωρισμός."
"If you select and save the rule you will be able to generate multiple coupon codes.","Εάν επιλέξετε και αποθηκεύσετε τον κανόνα, θα μπορέσετε να δημιουργήσετε πολλαπλούς κωδικούς κουπονιού."
